,label,animal_id,Cell,image_id,norm_mean_tmem,norm_mean_cd68,tmem_level,cd68_level,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab
29,B03_2_MIP.czi:c:3/4 - B03_2_MIP.czi #1,B03,2,2,0.05172055601193645,0.031200214583021857,mid,high,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34
30,B03_2_MIP.czi:c:3/4 - B03_2_MIP.czi #1,B03,3,2,-0.00588123827218693,0.042168902076419906,low,high,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34
31,B03_2_MIP.czi:c:3/4 - B03_2_MIP.czi #1,B03,4,2,0.045597303529374154,0.012530437033070864,low,high,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34
32,B03_3_MIP.czi:c:3/4 - B03_3_MIP.czi #1,B03,1,3,0.010705953415097703,0.02260744044351625,low,high,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34
33,B03_3_MIP.czi:c:3/4 - B03_3_MIP.czi #1,B03,2,3,0.018595889400311746,0.006317567658203002,low,mid,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34
34,B03_3_MIP.czi:c:3/4 - B03_3_MIP.czi #1,B03,3,3,0.08285085174997037,-0.014146971313085954,mid,low,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34
35,B03_3_MIP.czi:c:3/4 - B03_3_MIP.czi #1,B03,4,3,0.09489935578712175,0.0027767869601711126,mid,mid,W(25),M4,P17,B03,W(25),M4,Male,P15,12/10/2022,a-IL34
36,B04_1_MIP.czi:c:3/4 - B04_1_MIP.czi #1,B04,1,1,0.25045096363808983,0.021375460673381502,high,high,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
37,B04_1_MIP.czi:c:3/4 - B04_1_MIP.czi #1,B04,2,1,0.3267512141650046,-0.0051404472999101725,high,mid,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
38,B04_1_MIP.czi:c:3/4 - B04_1_MIP.czi #1,B04,3,1,0.23738797769896341,-0.02882669417301928,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
39,B04_1_MIP.czi:c:3/4 - B04_1_MIP.czi #1,B04,4,1,0.17987793897603635,-0.010776927585202073,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
40,B04_2_MIP.czi:c:3/4 - B04_2_MIP.czi #1,B04,1,2,0.2522474148348935,-0.019753916279032765,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
41,B04_2_MIP.czi:c:3/4 - B04_2_MIP.czi #1,B04,2,2,0.18259629717410233,-0.01426094918588687,high,low,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
42,B04_2_MIP.czi:c:3/4 - B04_2_MIP.czi #1,B04,3,2,0.4602267016887184,0.0007096311547770129,high,mid,W(26),M1,P17,B04,W(26),M1,Male,P15,12/8/2022,a-gp120
