,Breeder ID,Animal ID,Age,Section Key,Breeder ID.1,Animal ID.1,Sex,Age.1,Date of Surgery,Ab,animal_id,Cell,image_id,tmem_norm,cd68_norm,tmem_status,cd68_status
37,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,2,B30_1_MIP,0.12724277889427432,-0.0004124469664131547,mid,low
38,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,3,B30_1_MIP,0.13143735037742119,0.015645940002061792,mid,high
39,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,4,B30_1_MIP,0.05836218986513056,-0.0017666276294321104,mid,low
40,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,1,B30_2_MIP,0.10261614524708557,-0.017733454674149357,mid,low
41,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,2,B30_2_MIP,0.1528093675290507,-0.012044574807329428,high,low
42,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,3,B30_2_MIP,0.13555064470259603,-0.038776914294640474,mid,low
43,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,4,B30_2_MIP,0.18611065586632308,-0.029771846809935096,high,low
44,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,1,B30_3_MIP,0.10216273234548792,-0.07186263372738962,mid,low
45,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,2,B30_3_MIP,0.05632484534793408,-0.03566894314646067,mid,low
46,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,3,B30_3_MIP,0.06083924145483889,-0.02309147703543256,mid,low
47,W(25),F2.1,P17,B30,W(25)-3,F2,Female,P15,1/10/2023,a-CSF1,B30,4,B30_3_MIP,0.047180110542851206,-0.01197240409324049,low,low
